10-14 years old,15-19 years old,20-24 years old,25-29 years old,30-34 years old,35-49 years old,50-69 years old,70+ years old
1.618270493,3.433749768,4.386171973,5.105027699,5.749905423,5.010371513,6.131182708,5.279772357
0.90039551,2.004013577,2.437424275,2.398396392,2.401417502,2.487746614,3.664051694,4.399558106
1.757577793,3.40412185,3.8544754,4.25638565,4.630534189,4.52280769,5.402483209,4.848270209
1.063623258,2.43816724,2.885708009,2.862544102,2.971753805,3.115500657,5.451378497,5.746022223
1.024932332,2.354957906,2.884113133,2.933790079,2.966046999,2.969004144,4.408046489,4.663442536
1.82338776,3.507256581,4.289081612,4.627740207,4.862243329,4.805177305,4.882616728,4.827993756
1.495549682,3.753563666,4.908346247,4.94026278,5.059539617,4.912442907,6.548247978,7.320610104
1.239075591,2.479841269,2.663394261,2.775990568,2.899685222,2.987222326,4.179243236,4.167480616
1.931189916,4.494013108,5.303680804,4.771058482,4.442123409,4.695596318,4.568592882,4.20315685
1.045051722,2.323304156,2.845277268,2.941318177,2.980723787,2.996913239,4.716768712,6.192439216
2.588447895,5.627678592,6.741007041,6.260986387,5.973641644,6.101289644,4.977379221,4.119125266
1.344348043,2.810276597,3.73167354,3.950766579,4.149130977,4.095727161,4.528973696,4.471935243
